TABLE A-9 (CONTINUED),,,,,,,,,,,,,,,,,,
"SELECTED DATA FROM RESIDENT TAX RETURNS WITH HAWAI'I AGI UNDER $150,000 BY FILING STATUS  - 2022",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Hawai'i AGI CLASS,,,,Number of Returns,,Hawai'i AGI         ($ million),,Tax Liability,,,,,,,,Average Effective Tax Rates (%),,
,,,,,,,,Before Credits,,,,After Credits,,,,,,
,,,,,,,,Total          ($ Million),,Average         ($),,Total          ($ Million),,Average         ($),,Before Credits,,After Credits
HEAD OF HOUSEHOLD (H/H)* RESIDENT RETURNS,,,,,,,,,,,,,,,,,,
,Loss,,,525,,-$19,,$0.0,,$0.0,,-$0.1,,-$238.7,,n/a,,n/a
,Equal to,$0,,624,,$0,,$0.0,,$0.0,,-$0.1,,-$232.3,,n/a,,n/a
$1,to under,"$1,000",,730,,$0,,$0.0,,$0.0,,-$0.2,,-$229.9,,n/a,,n/a
"$1,000",to under,"$5,000",,"1,557",,$5,,$0.0,,$0.0,,-$0.4,,-$283.7,,n/a,,n/a
"$5,000",to under,"$10,000",,"2,557",,$20,,$0.1,,$21.6,,-$0.7,,-$261.1,,1.5%,,-17.7%
"$10,000",to under,"$15,000",,"3,496",,$44,,$0.5,,$130.5,,-$0.5,,-$141.8,,2.3%,,-2.5%
"$15,000",to under,"$20,000",,"3,837",,$67,,$1.4,,$352.2,,-$0.2,,-$40.6,,3.4%,,-0.4%
"$20,000",to under,"$30,000",,"8,011",,$201,,$6.4,,$798.7,,$1.3,,$162.7,,4.5%,,0.9%
"$30,000",to under,"$40,000",,"9,911",,$347,,$14.2,,"$1,431.0",,$8.4,,$848.8,,5.2%,,3.1%
"$40,000",to under,"$50,000",,"9,104",,$407,,$18.8,,"$2,063.0",,$16.2,,"$1,781.8",,5.7%,,4.9%
"$50,000",to under,"$60,000",,"6,704",,$367,,$18.1,,"$2,701.9",,$17.5,,"$2,615.3",,6.0%,,5.8%
"$60,000",to under,"$75,000",,"6,870",,$460,,$24.0,,"$3,498.4",,$23.5,,"$3,418.2",,6.3%,,6.2%
"$75,000",to under,"$100,000",,"6,564",,$564,,$30.9,,"$4,714.0",,$30.3,,"$4,620.4",,6.7%,,6.6%
"$100,000",to under,"$125,000",,"3,346",,$372,,$21.3,,"$6,378.5",,$20.9,,"$6,233.1",,7.0%,,6.9%
"$125,000",to under,"$150,000",,"1,557",,$211,,$12.6,,"$8,080.5",,$12.3,,"$7,871.3",,7.2%,,7.0%
TOTAL,,,,"65,393",,"$3,066",**,$148.3,,"$2,266.9",,$128.2,,"$1,960.4",,6.1%,,5.3%
ALL H/H* RESIDENT RETURNS,,,,"67,554",,"$3,753",**,$202.0,,"$2,990.6",,$177.4,,"$2,626.1",,6.6%,,5.8%
Ratio of HI AGI<$150K to All H/H (%),,,,96.8%,,81.7%,,73.4%,,75.8%,,72.3%,,74.6%,,92.6%,,91.2%
"Notes: Details may not add to totals due to rounding. ""n/a"" denotes ""not applicable"".",,,,,,,,,,,,,,,,,,
* Includes returns with Head of Household and Qualifying Widow(er) filing status.,,,,,,,,,,,,,,,,,,
** Excludes returns with negative Hawai'i AGI in the summation.,,,,,,,,,,,,,,,,,,
