TABLE A-9 (CONTINUED),,,,,,,,,,,,,,,,,,
"SELECTED DATA FROM RESIDENT TAX RETURNS WITH HAWAI'I AGI UNDER $150,000 BY FILING STATUS  - 2022",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Hawai'i AGI CLASS,,,,Number of Returns,,Hawai'i AGI         ($ million),,Tax Liability,,,,,,,,Average Effective Tax Rates (%),,
,,,,,,,,Before Credits,,,,After Credits,,,,,,
,,,,,,,,Total          ($ Million),,Average         ($),,Total          ($ Million),,Average         ($),,Before Credits,,After Credits
SINGLE* RESIDENT RETURNS,,,,,,,,,,,,,,,,,,
,Loss,,,"8,511",,-$277,,$0.0,,$0.0,,-$1.3,,-$157.5,,n/a,,n/a
,Equal to,$0,,"15,020",,$0,,$0.0,,$0.0,,-$1.5,,-$100.7,,n/a,,n/a
$1,to under,"$1,000",,"17,486",,$4,,$0.0,,$0.0,,-$1.5,,-$84.3,,n/a,,n/a
"$1,000",to under,"$5,000",,"26,777",,$79,,$0.2,,$6.7,,-$1.7,,-$62.2,,1.6%,,-14.7%
"$5,000",to under,"$10,000",,"28,439",,$211,,$2.4,,$84.5,,$0.1,,$1.9,,2.4%,,0.1%
"$10,000",to under,"$15,000",,"24,064",,$299,,$7.0,,$292.2,,$4.5,,$186.8,,3.8%,,2.4%
"$15,000",to under,"$20,000",,"20,539",,$359,,$11.7,,$568.4,,$9.6,,$465.1,,4.6%,,3.8%
"$20,000",to under,"$30,000",,"38,309",,$957,,$40.6,,"$1,060.8",,$36.9,,$964.3,,5.4%,,4.9%
"$30,000",to under,"$40,000",,"38,147",,"$1,333",,$67.1,,"$1,758.4",,$65.8,,"$1,723.8",,6.0%,,5.9%
"$40,000",to under,"$50,000",,"32,973",,"$1,477",,$80.5,,"$2,440.1",,$79.7,,"$2,415.9",,6.4%,,6.3%
"$50,000",to under,"$60,000",,"25,632",,"$1,403",,$80.2,,"$3,128.9",,$79.5,,"$3,102.9",,6.7%,,6.6%
"$60,000",to under,"$75,000",,"25,632",,"$1,714",,$101.4,,"$3,956.2",,$100.3,,"$3,914.4",,6.9%,,6.9%
"$75,000",to under,"$100,000",,"23,060",,"$1,982",,$121.7,,"$5,276.3",,$120.1,,"$5,206.7",,7.2%,,7.1%
"$100,000",to under,"$125,000",,"11,380",,"$1,263",,$84.3,,"$7,405.5",,$82.8,,"$7,273.2",,7.5%,,7.3%
"$125,000",to under,"$150,000",,"5,430",,$739,,$50.6,,"$9,324.3",,$49.4,,"$9,103.5",,7.6%,,7.4%
TOTAL,,,,"341,399",,"$11,819",**,$647.7,,"$1,897.0",,$622.6,,"$1,823.7",,6.6%,,6.3%
ALL SINGLE* RESIDENT RETURNS,,,,"351,205",,"$17,446",**,"$1,152.9",,"$3,282.8",,"$1,067.0",,"$3,038.0",,7.6%,,7.1%
Ratio of HI AGI<$150K to All Single (%),,,,97.2%,,67.7%,,56.2%,,57.8%,,58.4%,,60.0%,,86.5%,,89.8%
"Notes: Details may not add to totals due to rounding. ""n/a"" denotes ""not applicable"".",,,,,,,,,,,,,,,,,,
* Includes returns with Single and Married Filing Separately filing status. May also include returns with missing filing status.,,,,,,,,,,,,,,,,,,
** Excludes returns with negative Hawai'i AGI in the summation.,,,,,,,,,,,,,,,,,,
